pr_id,repository,pr_title,pr_description,author,created_date,merged_date,closed_date,num_commits,num_changed_files,additions,deletions,changed_lines,num_comments,num_reviews,review_decisions,num_reviewers,labels,merged,merge_time_hours,ai_reviewer_present,ai_reviewer_names,ai_code_present,commit_messages,modified_files,num_commits_norm,num_changed_files_norm,additions_norm,deletions_norm,changed_lines_norm,num_comments_norm,num_reviews_norm,num_reviewers_norm,num_commits_is_outlier,num_changed_files_is_outlier,additions_is_outlier,deletions_is_outlier,changed_lines_is_outlier,num_comments_is_outlier,num_reviews_is_outlier,num_reviewers_is_outlier
1,facebook/react,Fix issue #1 in module 6,This PR addresses a bug This PR addresses a bug ,dev_21,2025-12-10,2025-12-12T05,,8,5,55.0,36,91,2,4,"[""APPROVED"", ""CHANGES_REQUESTED"", ""CHANGES_REQUESTED"", ""APPROVED""]",3,[],True,53.59288630064025,False,[],False,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py"", ""src/module_3.py"", ""src/module_4.py""]",1.1467226499004746,-0.3386755083441611,-0.09606784579155711,0.19374239468782675,0.0007393818112207097,-1.0041290487425114,1.574196440507303,1.2400714796628798,False,False,False,False,False,False,False,False
2,facebook/react,Fix issue #2 in module 18,This PR addresses a bug This PR addresses a bug This PR addresses a bug This PR addresses a bug ,dev_25,2025-01-21,2025-01-21T17,,3,7,245.0,18,263,2,4,"[""CHANGES_REQUESTED"", ""CHANGES_REQUESTED"", ""CHANGES_REQUESTED"", ""APPROVED""]",3,"[""bug""]",True,17.962354315394165,True,"[""coderabbitai[bot]""]",False,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py"", ""src/module_3.py"", ""src/module_4.py""]",-0.8030438144508195,0.2963410698011411,2.9875379713718364,-0.3903403047953491,2.478148567459891,-1.0041290487425114,1.574196440507303,1.2400714796628798,False,False,True,False,True,False,False,False
3,facebook/react,Fix issue #3 in module 8,This PR addresses a bug This PR addresses a bug ,dev_23,2025-09-28,,,6,2,89.0,84,173,5,3,"[""APPROVED"", ""CHANGES_REQUESTED"", ""APPROVED""]",3,[],False,,False,[],False,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py""]",0.3668160641599569,-1.2912003755621144,0.45573530043768173,1.7512962599762958,1.1818298075274474,0.5045790378489081,0.5223948098788154,1.2400714796628798,False,False,False,False,False,False,False,False
4,facebook/react,Fix issue #4 in module 8,This PR addresses a bug This PR addresses a bug This PR addresses a bug ,dev_35,2025-05-19,2025-05-19T06,,1,9,260.0,44,304,3,2,"[""APPROVED"", ""COMMENTED""]",2,[],True,6.6509280694053645,True,"[""copilot-pull-request-reviewer[bot]""]",False,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py"", ""src/module_3.py"", ""src/module_4.py""]",-1.582950400191337,0.9313576479464434,3.230980535884736,0.45333470556923827,3.0686937803180045,-0.5012263532120382,-0.5294068207496722,0.0032980624459118257,False,False,True,False,True,False,False,False
5,facebook/react,Fix issue #5 in module 3,This PR addresses a bug ,dev_14,2026-03-25,,,7,8,65.0,26,91,3,2,"[""COMMENTED"", ""APPROVED""]",1,[],False,,True,"[""copilot-pull-request-reviewer[bot]""]",False,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py"", ""src/module_3.py"", ""src/module_4.py""]",0.7567693570302158,0.6138493588737922,0.06622719721704255,-0.1307479939139376,0.0007393818112207097,-0.5012263532120382,-0.5294068207496722,-1.233475354771056,False,False,False,False,False,False,False,False
6,facebook/react,Fix issue #6 in module 11,This PR addresses a bug ,dev_36,2025-08-19,2025-08-19T15,,3,7,38.0,24,62,2,2,"[""APPROVED"", ""COMMENTED""]",2,"[""breaking-change"", ""bug""]",True,15.848459246480179,True,"[""copilot-pull-request-reviewer[bot]""]",True,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py"", ""src/module_3.py"", ""src/module_4.py""]",-0.8030438144508195,0.2963410698011411,-0.3719694189061765,-0.19564607163429046,-0.4169633297225667,-1.0041290487425114,-0.5294068207496722,0.0032980624459118257,False,False,False,False,False,False,False,False
7,facebook/react,Fix issue #7 in module 8,This PR addresses a bug This PR addresses a bug This PR addresses a bug ,dev_9,2025-09-16,2025-09-16T00,,1,1,15.0,16,31,6,3,"[""CHANGES_REQUESTED"", ""APPROVED"", ""APPROVED""]",2,"[""breaking-change"", ""bug""]",True,0.20929227544951942,False,[],False,"[""fix bug"", ""update tests""]","[""src/module_0.py""]",-1.582950400191337,-1.6087086646347657,-0.7452480178259557,-0.455238382515702,-0.8634731248104085,1.0074817333793813,0.5223948098788154,0.0032980624459118257,False,False,False,False,False,False,False,False
8,facebook/react,Fix issue #8 in module 5,This PR addresses a bug This PR addresses a bug This PR addresses a bug This PR addresses a bug ,dev_33,2025-12-09,,,1,8,2.0,28,30,5,2,"[""APPROVED"", ""COMMENTED""]",1,"[""bug""]",False,,False,[],True,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py"", ""src/module_3.py"", ""src/module_4.py""]",-1.582950400191337,0.6138493588737922,-0.9562315737371353,-0.06584991619358473,-0.8778766665874357,0.5045790378489081,-0.5294068207496722,-1.233475354771056,False,False,False,False,False,False,False,False
9,facebook/react,Fix issue #9 in module 4,This PR addresses a bug This PR addresses a bug This PR addresses a bug ,dev_26,2025-09-09,,,1,9,23.0,6,29,5,3,"[""COMMENTED"", ""COMMENTED"", ""COMMENTED""]",3,"[""breaking-change"", ""enhancement""]",False,,False,[],True,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py"", ""src/module_3.py"", ""src/module_4.py""]",-1.582950400191337,0.9313576479464434,-0.615411983419076,-0.7797287711174663,-0.8922802083644629,0.5045790378489081,0.5223948098788154,1.2400714796628798,False,False,False,False,False,False,False,False
10,facebook/react,Fix issue #10 in module 5,This PR addresses a bug This PR addresses a bug This PR addresses a bug This PR addresses a bug ,dev_9,2026-03-29,,,9,4,45.0,8,53,3,1,"[""APPROVED""]",1,"[""bug"", ""needs-review""]",False,,True,"[""coderabbitai[bot]""]",False,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py"", ""src/module_3.py""]",1.5366759427707333,-0.6561837974168122,-0.2583628888001568,-0.7148306933971135,-0.5465952057158111,-0.5012263532120382,-1.5812084513781597,-1.233475354771056,False,False,False,False,False,False,False,False
