experiment,pattern,accuracy,precision,recall,f1,avg_bleu,avg_rouge_l,avg_inference_time_sec,n_prs
A,zero_shot,0.75,0.833,0.833,0.833,0.084,0.093,0.05,8
A,few_shot,0.375,0.667,0.333,0.444,0.087,0.088,0.05,8
A,role_based,0.375,0.6,0.5,0.545,0.06,0.083,0.05,8
A,reflection,0.5,0.667,0.667,0.667,0.096,0.123,0.05,8
B,zero_shot,0.625,0.8,0.667,0.727,0.081,0.097,0.05,8
B,few_shot,0.75,0.833,0.833,0.833,0.057,0.052,0.05,8
B,role_based,0.625,0.714,0.833,0.769,0.051,0.066,0.05,8
B,reflection,0.5,0.75,0.5,0.6,0.083,0.087,0.05,8
C,zero_shot,0.75,0.75,1.0,0.857,0.081,0.084,0.05,8
C,few_shot,0.5,0.667,0.667,0.667,0.066,0.079,0.05,8
C,role_based,0.75,0.833,0.833,0.833,0.082,0.081,0.05,8
C,reflection,0.625,0.714,0.833,0.769,0.075,0.088,0.05,8
D,zero_shot,1.0,1.0,1.0,1.0,0.115,0.103,0.05,8
D,few_shot,0.625,0.714,0.833,0.769,0.062,0.069,0.05,8
D,role_based,0.75,0.75,1.0,0.857,0.056,0.063,0.05,8
D,reflection,0.625,0.714,0.833,0.769,0.065,0.071,0.05,8
